region,year,mean_temp
Bay of Fundy,2000,9.56
Bay of Fundy,2005,8.61
Bay of Fundy,2010,9.91
Bay of Fundy,2015,9.82
Bay of Fundy,2020,10.36
Bay of Fundy,2024,9.88
Gulf of Maine,2000,9.86
Gulf of Maine,2005,8.91
Gulf of Maine,2010,10.21
Gulf of Maine,2015,10.12
Gulf of Maine,2020,10.66
Gulf of Maine,2024,10.18
Gulf of St. Lawrence,2000,6.16
Gulf of St. Lawrence,2005,6.33
Gulf of St. Lawrence,2010,6.51
Gulf of St. Lawrence,2015,6.68
Gulf of St. Lawrence,2020,6.86
Gulf of St. Lawrence,2024,7.0
Scotian Shelf,2000,8.54
Scotian Shelf,2005,8.74
Scotian Shelf,2010,8.94
Scotian Shelf,2015,9.14
Scotian Shelf,2020,9.34
Scotian Shelf,2024,9.5
